Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title,FareBin,prediction_label,prediction_score
2,male,27.0,0,0,15.5792,C,1,1,Mr,High,0,0.8486
3,male,10.0,4,1,29.125,Q,6,0,Master,High,0,0.8308
3,male,35.0,0,0,7.8958,S,1,1,Mr,Low,0,0.9614
3,male,25.0,0,0,7.65,S,1,1,Mr,Low,0,0.9729
3,male,27.0,1,0,16.1,S,2,0,Mr,High,0,0.9416
1,female,36.0,0,0,262.375,C,1,1,Miss,VeryHigh,1,0.9841
3,male,17.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.748
2,male,32.0,0,0,13.5,S,1,1,Mr,Medium,0,0.5382
3,male,18.0,0,0,7.75,S,1,1,Mr,Low,0,0.9577
3,female,22.0,0,0,7.725,Q,1,1,Miss,Low,1,0.6861
1,male,13.0,2,2,262.375,C,5,0,Master,VeryHigh,1,0.8648
2,female,27.0,0,0,21.0,S,1,1,Mrs,High,1,0.8929
3,female,18.0,0,0,7.8792,Q,1,1,Miss,Low,1,0.7232
1,male,47.0,0,0,42.4,S,1,1,Mr,VeryHigh,0,0.814
1,male,31.0,0,0,28.5375,C,1,1,Mr,High,0,0.8094
1,female,60.0,1,4,263.0,S,6,0,Mrs,VeryHigh,1,0.7674
3,female,24.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7091
3,male,21.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.8537
3,female,29.0,0,0,7.925,S,1,1,Miss,Medium,0,0.5073
1,male,28.5,0,0,27.7208,C,1,1,Mr,High,0,0.8103
1,female,35.0,0,0,211.5,C,1,1,Miss,VeryHigh,1,0.9819
1,male,32.5,0,0,211.5,C,1,1,Mr,VeryHigh,0,0.5001
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
1,female,55.0,2,0,25.7,S,3,0,Mrs,High,1,0.7484
2,male,30.0,0,0,13.0,S,1,1,Mr,Medium,0,0.5503
3,female,24.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7091
3,male,6.0,1,1,15.2458,C,3,0,Master,High,1,0.8503
1,male,67.0,1,0,221.7792,S,2,0,Mr,VeryHigh,0,0.7033
1,male,49.0,0,0,26.0,S,1,1,Mr,High,0,0.7431
3,male,27.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.8618
2,male,27.0,0,0,10.7083,Q,1,1,Mr,Medium,0,0.7782
3,male,27.0,1,0,14.4542,C,2,0,Mr,Medium,0,0.9223
3,female,27.0,0,0,7.8792,Q,1,1,Miss,Low,1,0.7634
3,female,18.0,0,0,8.05,S,1,1,Miss,Medium,1,0.5696
3,female,27.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7852
2,male,2.0,1,1,23.0,S,3,0,Master,High,1,0.9366
3,female,22.0,1,0,13.9,S,2,0,Mrs,Medium,1,0.6586
3,male,27.0,0,0,7.775,S,1,1,Mr,Low,0,0.969
1,female,27.0,1,2,52.0,S,4,0,Mrs,VeryHigh,1,0.9105
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
1,male,25.0,0,0,26.0,C,1,1,Mr,High,0,0.6754
3,male,25.0,0,0,7.7958,S,1,1,Mr,Low,0,0.9678
1,female,76.0,1,0,78.85,S,2,0,Mrs,VeryHigh,1,0.9254
3,male,29.0,0,0,7.925,S,1,1,Mr,Medium,0,0.8103
3,female,20.0,0,0,7.8542,S,1,1,Miss,Low,1,0.5778
3,male,33.0,0,0,8.05,S,1,1,Mr,Medium,0,0.7272
1,female,43.0,1,0,55.4417,C,2,0,Mrs,VeryHigh,1,0.9752
2,male,27.0,1,0,26.0,S,2,0,Mr,High,0,0.828
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,male,26.0,0,0,7.775,S,1,1,Mr,Low,0,0.9684
3,female,16.0,1,1,8.5167,C,3,0,Mrs,Medium,1,0.5925
3,male,28.0,0,0,22.525,S,1,1,Mr,High,0,0.9411
3,male,21.0,0,0,7.8208,Q,1,1,Mr,Low,0,0.9504
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,male,27.0,0,0,8.7125,S,1,1,Mr,Medium,0,0.9432
2,male,18.5,0,0,13.0,S,1,1,Mr,Medium,0,0.8644
2,male,41.0,0,0,15.0458,C,1,1,Mr,High,0,0.8699
3,female,27.0,0,0,7.7792,Q,1,1,Miss,Low,1,0.7634
1,female,36.0,0,0,31.6792,C,1,1,Miss,VeryHigh,1,0.945
3,female,18.5,0,0,7.2833,Q,1,1,Miss,Low,1,0.6391
1,female,63.0,1,0,221.7792,S,2,0,Mrs,VeryHigh,1,0.9488
3,male,18.0,1,0,14.4542,C,2,0,Mr,Medium,0,0.8745
3,male,27.0,0,0,6.4375,C,1,1,Mr,Low,0,0.9708
3,female,1.0,1,1,16.7,S,3,0,Miss,High,1,0.6334
1,male,36.0,0,0,75.2417,C,1,1,Mr,VeryHigh,0,0.6264
2,female,29.0,1,0,26.0,S,2,0,Mrs,High,1,0.9326
2,female,12.0,0,0,15.75,S,1,1,Miss,High,1,0.894
3,male,27.0,1,0,7.75,Q,2,0,Mr,Low,0,0.8487
1,female,35.0,1,0,57.75,C,2,0,Mrs,VeryHigh,1,0.9784
3,male,28.0,0,0,7.25,S,1,1,Mr,Low,0,0.9746
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,female,17.0,0,1,16.1,S,2,0,Miss,High,1,0.6048
3,male,22.0,0,0,7.7958,S,1,1,Mr,Low,0,0.9671
3,female,27.0,2,0,23.25,Q,3,0,Miss,High,1,0.7027
2,male,42.0,0,0,13.0,S,1,1,Mr,Medium,0,0.9079
3,male,24.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9456
3,male,32.0,0,0,8.05,S,1,1,Mr,Medium,0,0.6303
1,male,53.0,0,0,28.5,C,1,1,Rare,High,0,0.7369
3,female,27.0,0,4,25.4667,S,5,0,Mrs,High,0,0.7565
3,male,27.0,1,0,6.4375,C,2,0,Mr,Low,0,0.9427
3,male,43.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.702
3,male,24.0,0,0,7.8542,S,1,1,Mr,Low,0,0.9071
3,male,26.5,0,0,7.225,C,1,1,Mr,Low,0,0.9704
2,male,26.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8905
3,female,23.0,0,0,8.05,S,1,1,Miss,Medium,0,0.6026
3,male,40.0,1,6,46.9,S,8,0,Mr,VeryHigh,0,0.9765
3,female,10.0,5,2,46.9,S,8,0,Miss,VeryHigh,0,0.926
1,female,33.0,0,0,151.55,S,1,1,Miss,VeryHigh,1,0.9728
1,male,61.0,1,3,262.375,C,5,0,Mr,VeryHigh,0,0.6797
2,male,28.0,0,0,26.0,S,1,1,Mr,High,0,0.865
1,male,42.0,0,0,26.55,S,1,1,Mr,High,1,0.5436
3,male,31.0,3,0,18.0,S,4,0,Mr,High,0,0.9363
1,male,27.0,0,0,51.8625,S,1,1,Mr,VeryHigh,0,0.6396
3,male,22.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9436
1,male,27.0,0,0,26.55,S,1,1,Mr,High,1,0.6174
2,male,30.0,1,1,26.0,S,3,0,Rare,High,0,0.7581
1,female,23.0,0,1,83.1583,C,2,0,Mrs,VeryHigh,1,0.9679
3,male,27.0,0,0,7.8958,C,1,1,Mr,Medium,0,0.875
3,male,60.5,0,0,14.4542,S,1,1,Mr,High,0,0.96
3,female,36.0,0,2,12.1833,S,3,0,Mrs,Medium,0,0.5872
3,male,13.0,4,2,31.3875,S,7,0,Master,High,0,0.8557
3,male,24.0,0,0,7.55,S,1,1,Mr,Low,0,0.9724
1,female,29.0,0,0,221.7792,S,1,1,Miss,VeryHigh,1,0.9725
3,female,23.0,0,0,7.8542,S,1,1,Miss,Low,1,0.6364
1,male,42.0,0,0,26.55,S,1,1,Mr,High,1,0.5436
3,female,26.0,0,2,13.775,S,3,0,Mrs,Medium,1,0.5257
3,female,27.0,0,0,7.7333,Q,1,1,Miss,Low,1,0.7765
3,male,7.0,1,1,15.2458,C,3,0,Master,High,1,0.8279
2,female,26.0,0,0,13.5,S,1,1,Miss,Medium,1,0.7634
3,male,27.0,0,0,7.0,S,1,1,Mr,Low,0,0.974
2,male,41.0,0,0,13.0,S,1,1,Rare,Medium,0,0.8833
3,female,26.0,1,1,22.025,S,3,0,Mrs,High,0,0.6018
1,male,48.0,0,0,50.4958,C,1,1,Mr,VeryHigh,0,0.7609
3,male,18.0,2,2,34.375,S,5,0,Mr,VeryHigh,0,0.9645
1,female,27.0,0,0,27.7208,C,1,1,Mrs,High,1,0.8491
3,female,22.0,0,0,8.9625,S,1,1,Miss,Medium,0,0.621
3,male,27.0,0,0,7.55,S,1,1,Mr,Low,0,0.974
3,male,27.0,0,0,7.225,C,1,1,Mr,Low,0,0.9708
3,male,23.0,1,0,13.9,S,2,0,Mr,Medium,0,0.9167
3,male,27.0,0,0,7.2292,C,1,1,Mr,Low,0,0.9708
3,male,40.0,1,5,31.3875,S,7,0,Mr,High,0,0.9925
2,female,15.0,0,2,39.0,S,3,0,Miss,VeryHigh,1,0.9346
2,female,20.0,0,0,36.75,S,1,1,Miss,VeryHigh,1,0.9412
1,male,54.0,1,0,55.4417,C,2,0,Mr,VeryHigh,1,0.6189
2,female,36.0,0,3,39.0,S,4,0,Mrs,VeryHigh,1,0.908
1,female,64.0,0,2,83.1583,C,3,0,Mrs,VeryHigh,1,0.9051
2,male,30.0,0,0,13.0,S,1,1,Mr,Medium,0,0.5503
1,male,37.0,1,1,83.1583,C,3,0,Mr,VeryHigh,1,0.5163
1,female,18.0,1,0,53.1,S,2,0,Mrs,VeryHigh,1,0.9656
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
1,female,27.0,1,1,247.5208,C,3,0,Mrs,VeryHigh,1,0.9606
2,male,40.0,0,0,16.0,S,1,1,Mr,High,0,0.9021
2,female,21.0,0,1,21.0,S,2,0,Miss,High,1,0.912
3,male,17.0,2,0,8.05,S,3,0,Mr,Medium,0,0.8849
3,female,27.0,8,2,69.55,S,11,0,Miss,VeryHigh,0,0.9895
2,male,40.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8961
2,male,34.0,1,0,26.0,S,2,0,Mr,High,0,0.6383
1,male,27.0,0,0,26.0,S,1,1,Mr,High,0,0.6264
3,male,11.5,1,1,14.5,S,3,0,Master,High,1,0.714
2,male,61.0,0,0,12.35,Q,1,1,Mr,Medium,0,0.8092
2,male,8.0,0,2,32.5,S,3,0,Master,VeryHigh,1,0.8818
3,male,33.0,0,0,7.8542,S,1,1,Mr,Low,0,0.7984
1,male,6.0,0,2,134.5,C,3,0,Master,VeryHigh,1,0.9242
3,female,18.0,0,0,7.775,S,1,1,Miss,Low,1,0.5901
2,male,23.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8911
3,female,27.0,0,0,8.1125,S,1,1,Mrs,Medium,1,0.7583
3,female,27.0,0,0,15.5,Q,1,1,Miss,High,1,0.7164
3,male,0.33,0,2,14.4,S,3,0,Master,Medium,1,0.8159
1,male,47.0,1,0,227.525,C,2,0,Rare,VeryHigh,1,0.7543
2,female,8.0,1,1,26.0,S,3,0,Miss,High,1,0.9009
2,male,25.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8899
1,male,27.0,0,0,25.7417,C,1,1,Mr,High,0,0.6882
3,female,35.0,0,0,7.75,Q,1,1,Miss,Low,0,0.5737
2,male,24.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8931
1,female,33.0,0,0,27.7208,C,1,1,Miss,High,1,0.7803
3,male,25.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.86
3,male,32.0,0,0,22.525,S,1,1,Mr,High,0,0.8933
3,male,27.0,0,0,7.05,S,1,1,Mr,Low,0,0.974
2,male,17.0,0,0,73.5,S,1,1,Mr,VeryHigh,0,0.5827
2,female,60.0,1,0,26.0,S,2,0,Mrs,High,1,0.8001
3,female,38.0,4,2,7.775,S,7,0,Miss,Low,0,0.9156
1,male,42.0,0,0,42.5,S,1,1,Mr,VeryHigh,0,0.7542
3,female,27.0,0,0,7.8792,Q,1,1,Miss,Low,1,0.7634
1,male,57.0,1,1,164.8667,S,3,0,Mr,VeryHigh,0,0.7318
1,female,50.0,1,1,211.5,C,3,0,Mrs,VeryHigh,1,0.9704
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
2,female,30.0,1,0,13.8583,C,2,0,Miss,Medium,1,0.8301
3,male,21.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9382
2,female,22.0,0,0,10.5,S,1,1,Mrs,Medium,1,0.7933
3,male,21.0,0,0,7.7958,S,1,1,Mr,Low,0,0.9664
1,female,53.0,0,0,27.4458,C,1,1,Mrs,High,1,0.7525
3,female,27.0,0,2,15.2458,C,3,0,Mrs,High,0,0.5275
3,male,23.0,0,0,7.7958,S,1,1,Mr,Low,0,0.9677
3,female,27.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7852
3,male,40.5,0,0,15.1,S,1,1,Mr,High,0,0.9496
2,male,36.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8795
2,male,14.0,0,0,65.0,S,1,1,Mr,VeryHigh,0,0.578
1,female,21.0,0,0,26.55,S,1,1,Miss,High,1,0.904
3,male,21.0,1,0,6.4958,S,2,0,Mr,Low,0,0.8849
3,male,27.0,0,0,7.8792,Q,1,1,Mr,Low,0,0.9548
1,male,39.0,1,0,71.2833,C,2,0,Mr,VeryHigh,1,0.5991
3,male,20.0,0,0,7.8542,S,1,1,Mr,Low,0,0.8992
1,male,64.0,1,0,75.25,C,2,0,Mr,VeryHigh,0,0.5083
3,male,20.0,0,0,7.225,C,1,1,Mr,Low,0,0.9564
2,female,18.0,1,1,13.0,S,3,0,Miss,Medium,1,0.7874
1,female,48.0,1,0,106.425,C,2,0,Mrs,VeryHigh,1,0.9771
1,female,55.0,0,0,27.7208,C,1,1,Mrs,High,1,0.7487
2,female,45.0,0,2,30.0,S,3,0,Mrs,High,1,0.8554
1,male,45.0,1,1,134.5,C,3,0,Mr,VeryHigh,1,0.5798
3,male,27.0,0,0,7.8875,S,1,1,Mr,Low,0,0.969
3,male,27.0,1,2,23.45,S,4,0,Master,High,0,0.5456
1,male,41.0,1,0,51.8625,S,2,0,Mr,VeryHigh,0,0.7433
2,female,22.0,0,0,21.0,S,1,1,Mrs,High,1,0.9165
2,male,42.0,1,1,32.5,S,3,0,Mr,VeryHigh,0,0.8119
2,female,29.0,1,0,26.0,S,2,0,Mrs,High,1,0.9326
3,female,27.0,1,0,14.4542,C,2,0,Mrs,High,1,0.6901
2,female,0.92,1,2,27.75,S,4,0,Miss,High,1,0.8095
3,male,20.0,0,0,7.925,S,1,1,Mr,Medium,0,0.7874
1,male,27.0,1,0,136.7792,C,2,0,Mr,VeryHigh,1,0.53
3,male,24.0,0,0,9.325,S,1,1,Mr,Medium,0,0.9503
3,male,32.5,0,0,9.5,S,1,1,Mr,Medium,0,0.8778
3,male,27.0,0,0,7.55,S,1,1,Mr,Low,0,0.974
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,male,28.0,0,0,8.05,S,1,1,Mr,Medium,0,0.946
2,female,19.0,0,0,13.0,S,1,1,Miss,Medium,1,0.7505
3,male,21.0,0,0,7.775,S,1,1,Mr,Low,0,0.9664
3,male,36.5,1,0,17.4,S,2,0,Mr,High,0,0.9412
3,male,21.0,0,0,7.8542,S,1,1,Mr,Low,0,0.905
2,female,29.0,0,2,23.0,S,3,0,Mrs,High,1,0.864
3,female,1.0,1,1,12.1833,S,3,0,Miss,Medium,1,0.6152
2,male,30.0,0,0,12.7375,C,1,1,Mr,Medium,0,0.6439
3,male,27.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.8618
1,male,27.0,0,0,0.0,S,1,1,Mr,Low,0,0.8986
3,male,27.0,0,0,7.55,S,1,1,Mr,Low,0,0.974
3,female,27.0,0,0,8.05,S,1,1,Miss,Medium,1,0.5072
3,male,17.0,0,0,8.6625,S,1,1,Mr,Medium,0,0.922
1,male,46.0,0,0,75.2417,C,1,1,Mr,VeryHigh,0,0.7251
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
1,female,26.0,1,0,136.7792,C,2,0,Mrs,VeryHigh,1,0.9706
3,female,27.0,1,0,15.5,Q,2,0,Miss,High,1,0.7731
3,male,27.0,0,0,7.225,C,1,1,Mr,Low,0,0.9708
2,female,20.0,1,0,26.0,S,2,0,Miss,High,1,0.9164
2,male,28.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8949
2,male,40.0,1,0,26.0,S,2,0,Mr,High,0,0.6993
2,male,30.0,1,0,21.0,S,2,0,Mr,High,0,0.8067
2,male,22.0,0,0,10.5,S,1,1,Mr,Medium,0,0.889
3,female,23.0,0,0,8.6625,S,1,1,Miss,Medium,0,0.6495
3,male,0.75,1,1,13.775,S,3,0,Master,Medium,1,0.8104
3,female,27.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7852
3,female,9.0,1,1,15.2458,C,3,0,Miss,High,1,0.6771
3,female,2.0,1,1,20.2125,S,3,0,Miss,High,1,0.6402
3,male,36.0,0,0,7.25,S,1,1,Mr,Low,0,0.9788
3,male,27.0,0,0,7.25,S,1,1,Mr,Low,0,0.974
1,male,24.0,1,0,82.2667,S,2,0,Mr,VeryHigh,0,0.5782
3,male,27.0,0,0,7.2292,C,1,1,Mr,Low,0,0.9708
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
1,male,27.0,0,0,39.6,S,1,1,Mr,VeryHigh,1,0.526
3,female,30.0,0,0,6.95,Q,1,1,Miss,Low,0,0.5954
3,male,27.0,0,0,7.2292,C,1,1,Mr,Low,0,0.9708
1,male,53.0,1,1,81.8583,S,3,0,Rare,VeryHigh,0,0.563
3,male,36.0,0,0,9.5,S,1,1,Mr,Medium,0,0.9111
3,male,26.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.8609
2,female,1.0,1,2,41.5792,C,4,0,Miss,VeryHigh,1,0.8456
3,male,27.0,2,0,21.6792,C,3,0,Mr,High,0,0.836
1,male,30.0,0,0,45.5,S,1,1,Mr,VeryHigh,0,0.7245
3,male,29.0,0,0,7.8542,S,1,1,Mr,Low,0,0.9089
3,male,32.0,0,0,7.775,S,1,1,Mr,Low,0,0.8798
2,male,27.0,0,0,15.0458,C,1,1,Mr,High,0,0.8505
2,male,43.0,0,1,21.0,S,2,0,Mr,High,0,0.8632
3,male,24.0,0,0,8.6625,S,1,1,Mr,Medium,0,0.9546
3,female,27.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7852
1,female,64.0,1,1,26.55,S,3,0,Mrs,High,1,0.6948
1,male,30.0,1,2,151.55,S,4,0,Mr,VeryHigh,0,0.527
3,male,0.83,0,1,9.35,S,2,0,Master,Medium,1,0.8785
1,male,55.0,1,1,93.5,S,3,0,Mr,VeryHigh,0,0.7126
3,female,45.0,1,0,14.1083,S,2,0,Mrs,Medium,0,0.5803
3,male,18.0,0,0,8.6625,S,1,1,Mr,Medium,0,0.8608
3,male,22.0,0,0,7.225,C,1,1,Mr,Low,0,0.9623
3,male,27.0,0,0,7.575,S,1,1,Mr,Low,0,0.974
3,female,37.0,0,0,7.75,Q,1,1,Miss,Low,0,0.6102
1,female,55.0,0,0,135.6333,C,1,1,Mrs,VeryHigh,1,0.9438
3,female,17.0,0,0,7.7333,Q,1,1,Miss,Low,1,0.7564
1,male,57.0,1,0,146.5208,C,2,0,Mr,VeryHigh,1,0.5241
2,male,19.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8662
3,male,27.0,0,0,7.8542,S,1,1,Mr,Low,0,0.9077
2,male,22.0,2,0,31.5,S,3,0,Mr,VeryHigh,0,0.8246
3,male,26.0,0,0,7.775,S,1,1,Mr,Low,0,0.9684
3,male,25.0,0,0,7.2292,C,1,1,Mr,Low,0,0.9693
2,male,26.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8905
1,male,33.0,0,0,26.55,S,1,1,Mr,High,1,0.6025
1,female,39.0,0,0,211.3375,S,1,1,Miss,VeryHigh,1,0.9695
3,male,23.0,0,0,7.05,S,1,1,Mr,Low,0,0.9667
2,female,12.0,2,1,39.0,S,4,0,Miss,VeryHigh,1,0.8915
1,male,46.0,0,0,79.2,C,1,1,Mr,VeryHigh,0,0.7322
2,male,29.0,1,0,26.0,S,2,0,Mr,High,0,0.7184
2,male,21.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8862
2,female,48.0,0,2,36.75,S,3,0,Mrs,VeryHigh,1,0.9161
1,male,39.0,0,0,29.7,C,1,1,Mr,High,0,0.7655
3,male,27.0,0,0,7.225,C,1,1,Mr,Low,0,0.9708
3,female,19.0,1,1,15.7417,C,3,0,Mrs,High,1,0.6246
3,male,27.0,0,0,7.8958,S,1,1,Mr,Medium,0,0.8618
1,male,30.0,0,0,26.0,S,1,1,Mr,High,0,0.6305
2,male,32.0,0,0,13.0,S,1,1,Mr,Medium,0,0.5383
3,male,39.0,0,2,7.2292,C,3,0,Mr,Low,0,0.9707
2,male,25.0,0,0,31.5,S,1,1,Mr,VeryHigh,0,0.6332
3,male,27.0,0,0,7.2292,C,1,1,Master,Low,1,0.561
2,male,18.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8641
3,male,32.0,0,0,7.5792,S,1,1,Mr,Low,0,0.8987
3,male,27.0,1,9,69.55,S,11,0,Mr,VeryHigh,0,0.9545
1,female,58.0,0,1,512.3292,C,2,0,Mrs,VeryHigh,1,0.9777
3,male,27.0,1,1,14.5,S,3,0,Master,High,1,0.6319
3,female,16.0,0,0,7.65,S,1,1,Miss,Low,1,0.6073
2,male,26.0,0,0,13.0,S,1,1,Mr,Medium,0,0.8905
3,female,38.0,0,0,7.2292,C,1,1,Mrs,Low,1,0.6141
2,male,24.0,0,0,13.5,S,1,1,Mr,Medium,0,0.8791
2,female,31.0,0,0,21.0,S,1,1,Miss,High,1,0.9159
1,female,45.0,0,1,63.3583,C,2,0,Mrs,VeryHigh,1,0.9578
2,male,25.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8899
2,male,18.0,0,0,73.5,S,1,1,Mr,VeryHigh,0,0.5949
2,male,49.0,1,2,65.0,S,4,0,Mr,VeryHigh,0,0.7954
3,female,0.17,1,2,20.575,S,4,0,Miss,High,1,0.5932
1,male,50.0,0,0,26.0,S,1,1,Mr,High,0,0.7616
1,female,59.0,2,0,51.4792,S,3,0,Mrs,VeryHigh,1,0.9049
3,male,27.0,0,0,7.8792,S,1,1,Mr,Low,0,0.969
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,female,30.0,1,0,15.55,S,2,0,Mrs,High,1,0.7006
3,male,14.5,8,2,69.55,S,11,0,Master,VeryHigh,0,0.9753
2,female,24.0,1,1,37.0042,C,3,0,Mrs,VeryHigh,1,0.9255
2,female,31.0,0,0,21.0,S,1,1,Mrs,High,1,0.9363
3,male,27.0,0,0,8.6625,S,1,1,Mr,Medium,0,0.9473
1,female,25.0,1,0,55.4417,C,2,0,Mrs,VeryHigh,1,0.9782
3,female,27.0,1,9,69.55,S,11,0,Mrs,VeryHigh,0,0.8629
3,male,27.0,1,0,14.4583,C,2,0,Mr,High,0,0.8982
3,female,22.0,0,0,39.6875,S,1,1,Miss,VeryHigh,1,0.6647
1,female,45.0,0,1,59.4,C,2,0,Mrs,VeryHigh,1,0.9575
2,male,29.0,0,0,13.8583,C,1,1,Mr,Medium,0,0.5529
